,Date,Action,Ticker,Quantity,Price,Cash
0,2019-01-31,BUY,AAPL,25342,39.4588737487793,33.221458435058594
1,2019-02-28,SELL,AAPL,23340,41.93505096435547,978797.3109664917
2,2019-02-28,BUY,JPM,11058,88.51355743408203,14.392860412597656
3,2019-03-29,SELL,JPM,626,84.76795959472656,53079.135566711426
4,2019-03-29,BUY,AAPL,1172,45.256370544433594,38.669288635253906
5,2019-04-30,SELL,JPM,971,98.48651123046875,95669.07169342041
6,2019-04-30,BUY,AAPL,1949,49.06690979003906,37.664512634277344
7,2019-05-21,SELL,AAPL,5123,44.07535171508789,225835.69134902954
8,2019-05-31,SELL,JPM,3320,90.80232238769531,527299.401676178
9,2019-05-31,BUY,AAPL,12284,42.9222526550293,42.4500617980957
