,Date,Action,Ticker,Quantity,Price,Cash
0,2019-01-31,BUY,BAC,18746,25.100051879882812,529474.4274597168
1,2019-01-31,BUY,GS,3016,175.53790283203125,52.112518310546875
2,2019-02-28,SELL,GS,445,172.43429565429688,76785.37408447266
3,2019-02-28,BUY,BAC,3011,25.497238159179688,13.189987182617188
4,2019-03-29,SELL,BAC,3595,23.718151092529297,85279.94316482544
5,2019-03-29,BUY,GS,512,166.4108428955078,77.59160232543945
6,2019-04-30,SELL,BAC,5175,26.703536987304688,138268.3955116272
7,2019-04-30,SELL,GS,1157,180.11158752441406,346657.50227737427
8,2019-04-30,BUY,JPM,3519,98.48650360107422,83.4961051940918
9,2019-05-31,SELL,GS,10,163.8295440673828,1721.79154586792
10,2019-05-31,SELL,JPM,63,90.80230712890625,7442.336894989014
11,2019-05-31,BUY,BAC,315,23.57062339782715,17.590524673461914
12,2019-06-28,SELL,BAC,25,24.6141357421875,632.9439182281494
13,2019-06-28,SELL,GS,40,174.27821350097656,7604.072458267212
14,2019-06-28,BUY,JPM,82,92.31201171875,34.487497329711914
15,2019-07-31,SELL,BAC,39,26.952529907226562,1085.6361637115479
16,2019-07-31,SELL,GS,32,193.5841522216797,7280.329034805298
17,2019-07-31,BUY,JPM,73,98.73104858398438,72.96248817443848
18,2019-08-30,SELL,GS,14,178.99693298339844,2578.9195499420166
19,2019-08-30,SELL,JPM,99,93.2901382446289,11814.643236160278
20,2019-08-30,BUY,BAC,495,23.846311569213867,10.719009399414062
21,2019-09-30,SELL,BAC,237,25.77761459350586,6120.013668060303
22,2019-09-30,SELL,JPM,52,100.55039978027344,11348.634456634521
23,2019-09-30,BUY,GS,61,183.862548828125,133.01897811889648
24,2019-10-31,SELL,BAC,190,27.771316528320312,5409.569118499756
25,2019-10-31,SELL,JPM,46,108.25240325927734,10389.179668426514
26,2019-10-31,BUY,GS,54,189.8807373046875,135.61985397338867
27,2019-11-29,SELL,BAC,127,29.352222442626953,3863.3521041870117
28,2019-11-29,SELL,JPM,12,113.70247650146484,5227.78182220459
29,2019-11-29,BUY,GS,26,196.1628875732422,127.54674530029297
30,2019-12-31,SELL,BAC,120,31.04020881652832,3852.3718032836914
31,2019-12-31,SELL,JPM,6,119.35920715332031,4568.527046203613
32,2019-12-31,BUY,GS,22,203.32984924316406,95.2703628540039
