,Date,Action,Ticker,Quantity,Price,Cash
0,2019-01-31,BUY,AAPL,25342,39.4588737487793,33.221458435058594
1,2019-02-28,SELL,AAPL,23340,41.93505096435547,978797.3109664917
2,2019-02-28,BUY,JPM,11058,88.51355743408203,14.392860412597656
3,2019-03-29,SELL,JPM,626,84.76795959472656,53079.135566711426
4,2019-03-29,BUY,AAPL,1172,45.256370544433594,38.669288635253906
5,2019-04-30,SELL,JPM,971,98.48651123046875,95669.07169342041
6,2019-04-30,BUY,AAPL,1949,49.06690979003906,37.664512634277344
7,2019-05-21,SELL,AAPL,5123,44.07535171508789,225835.69134902954
8,2019-05-31,SELL,JPM,3320,90.80232238769531,527299.401676178
9,2019-05-31,BUY,AAPL,12284,42.9222526550293,42.4500617980957
10,2019-01-03,SELL,AAPL,12284,37.708595275878906,463254.8344306946
11,2019-01-31,SELL,JPM,6141,87.88228607177734,1002939.9531974792
12,2019-01-31,BUY,AAPL,1563,39.45888137817383,941265.7216033936
13,2019-01-31,BUY,PFE,11945,30.706892013549805,574471.8965015411
14,2019-01-31,BUY,WMT,19990,28.73524284362793,54.39205741882324
15,2019-02-28,SELL,AAPL,1563,41.9350471496582,65598.8707523346
16,2019-02-28,SELL,WMT,2858,29.738554000854492,150591.65808677673
17,2019-02-28,BUY,PFE,4708,31.98076057434082,26.237302780151367
18,2019-03-29,SELL,WMT,451,29.599916458129883,13375.799625396729
19,2019-03-29,BUY,PFE,424,31.503982543945312,18.111026763916016
20,2019-04-30,SELL,WMT,320,30.949928283691406,9922.088077545166
21,2019-04-30,BUY,PFE,336,29.49261474609375,12.569522857666016
22,2019-05-31,SELL,WMT,1419,31.307353973388672,44437.70481109619
23,2019-05-31,BUY,PFE,1411,31.49029541015625,4.897987365722656
