,Date,Action,Ticker,Quantity,Price,Cash
0,2019-01-31,BUY,AMZN,104,83.52149963378906,991313.7640380859
1,2019-01-31,BUY,JPM,11279,87.88226318359375,89.71759033203125
2,2019-02-28,SELL,JPM,4269,88.51355743408203,377954.0942764282
3,2019-02-28,BUY,AMZN,4606,82.05449676513672,11.082176208496094
4,2019-03-29,SELL,AMZN,2015,88.6709976196289,178683.14237976074
5,2019-03-29,BUY,JPM,2107,84.76797485351562,77.01936340332031
6,2019-04-30,SELL,AMZN,2695,96.92150115966797,261280.4649887085
7,2019-04-30,BUY,JPM,2652,98.48650360107422,94.25743865966797
8,2019-05-31,BUY,JPM,1,90.80232238769531,3.4551162719726562
9,2019-09-30,SELL,JPM,2684,100.55039978027344,269880.7281265259
10,2019-09-30,BUY,AMZN,3128,86.27249908447266,20.350990295410156
11,2019-10-31,SELL,JPM,4056,108.25241088867188,439092.12955474854
12,2019-10-31,BUY,AMZN,4933,88.99949645996094,57.61351776123047
13,2019-11-29,SELL,JPM,2310,113.70248413085938,262710.3518600464
14,2019-11-29,BUY,AMZN,2889,90.92549896240234,26.585357666015625
15,2019-12-31,SELL,JPM,1088,119.35921478271484,129889.41104125977
16,2019-12-31,BUY,AMZN,1406,92.34449768066406,53.04730224609375
