,Date,Action,Ticker,Quantity,Price,Cash
0,2019-01-31,BUY,XOM,18474,54.129310607910156,15.115829467773438
1,2019-02-28,SELL,XOM,18474,60.166194915771484,1111525.4007034302
2,2019-02-28,BUY,JPM,12557,88.5135498046875,60.75580596923828
3,2019-03-29,SELL,JPM,1227,84.7679672241211,104071.05158996582
4,2019-03-29,BUY,XOM,1702,61.1276969909668,31.71131134033203
5,2019-04-30,SELL,JPM,6105,98.48650360107422,601291.8157958984
6,2019-04-30,BUY,XOM,9931,60.54472351074219,22.166610717773438
7,2019-01-03,SELL,XOM,11633,52.18250274658203,607061.2210617065
8,2019-01-31,SELL,JPM,5224,87.88227081298828,1066158.2037887573
9,2019-01-31,BUY,HPE,44038,12.767318725585938,503911.0217514038
10,2019-01-31,BUY,PFE,13442,30.706890106201172,91149.00494384766
11,2019-01-31,BUY,WMT,3172,28.735246658325195,0.8025436401367188
12,2019-02-28,SELL,HPE,37638,13.738030433654785,517072.79200553894
13,2019-02-28,SELL,JPM,1,88.51354217529297,517161.30554771423
14,2019-02-28,BUY,PFE,4258,31.980762481689453,380987.21890068054
15,2019-02-28,BUY,WMT,12810,29.738554000854492,36.34214973449707
16,2019-03-29,SELL,HPE,250,12.64334487915039,3197.1783695220947
17,2019-03-29,SELL,WMT,190,29.599910736083984,8821.161409378052
18,2019-03-29,BUY,PFE,280,31.503992080688477,0.04362678527832031
19,2019-04-30,SELL,WMT,146,30.949928283691406,4518.733156204224
20,2019-04-30,BUY,HPE,208,13.016183853149414,1811.3669147491455
21,2019-04-30,BUY,PFE,61,29.492612838745117,12.31753158569336
