,Date,Action,Ticker,Quantity,Price,Cash
0,2019-01-31,BUY,AAPL,5868,39.4588737487793,768455.3288421631
1,2019-01-31,BUY,GS,124,175.5378875732422,746688.630783081
2,2019-01-31,BUY,PFE,24311,30.706890106201172,173.42541122436523
3,2019-02-28,SELL,AAPL,5867,41.935054779052734,246206.39179992676
4,2019-02-28,BUY,GS,36,172.43429565429688,239998.75715637207
5,2019-02-28,BUY,PFE,7500,31.98076057434082,143.05284881591797
6,2019-03-29,SELL,AAPL,1,45.256385803222656,188.30923461914062
7,2019-03-29,SELL,GS,12,166.4108123779297,2185.238983154297
8,2019-03-29,BUY,PFE,69,31.503986358642578,11.463924407958984
9,2019-03-29,BUY,PFE,0,31.503986358642578,11.463924407958984
10,2019-04-30,SELL,PFE,1315,29.49262046813965,38794.2598400116
11,2019-04-30,BUY,AAPL,771,49.06690979003906,963.6723918914795
12,2019-04-30,BUY,GS,5,180.11160278320312,63.11437797546387
13,2019-05-21,SELL,AAPL,771,44.07535171508789,34045.21055030823
14,2019-05-31,SELL,PFE,421,31.490297317504883,47302.62572097778
15,2019-05-31,BUY,AAPL,1011,42.92224884033203,3908.2321434020996
16,2019-05-31,BUY,GS,23,163.82955932617188,140.15227890014648
