,Date,Action,Ticker,Quantity,Price,Cash
0,2019-01-31,BUY,XOM,18474,54.129310607910156,15.115829467773438
1,2019-02-28,SELL,XOM,18474,60.166194915771484,1111525.4007034302
2,2019-02-28,BUY,JPM,12557,88.5135498046875,60.75580596923828
3,2019-03-29,SELL,JPM,1227,84.7679672241211,104071.05158996582
4,2019-03-29,BUY,XOM,1702,61.1276969909668,31.71131134033203
5,2019-04-30,SELL,JPM,6105,98.48650360107422,601291.8157958984
6,2019-04-30,BUY,XOM,9931,60.54472351074219,22.166610717773438
7,2019-01-03,SELL,XOM,11633,52.18250274658203,607061.2210617065
8,2019-01-31,SELL,JPM,5224,87.88227081298828,1066158.2037887573
9,2019-01-31,BUY,HPE,44038,12.767318725585938,503911.0217514038
10,2019-01-31,BUY,PFE,13442,30.706890106201172,91149.00494384766
11,2019-01-31,BUY,WMT,3172,28.735246658325195,0.8025436401367188
12,2019-02-28,SELL,HPE,37638,13.738030433654785,517072.79200553894
13,2019-02-28,SELL,JPM,1,88.51354217529297,517161.30554771423
14,2019-02-28,BUY,PFE,4258,31.980762481689453,380987.21890068054
15,2019-02-28,BUY,WMT,12810,29.738554000854492,36.34214973449707
16,2019-03-29,SELL,HPE,250,12.64334487915039,3197.1783695220947
17,2019-03-29,SELL,WMT,190,29.599910736083984,8821.161409378052
18,2019-03-29,BUY,PFE,280,31.503992080688477,0.04362678527832031
19,2019-04-30,SELL,WMT,146,30.949928283691406,4518.733156204224
20,2019-04-30,BUY,HPE,208,13.016183853149414,1811.3669147491455
21,2019-04-30,BUY,PFE,61,29.492612838745117,12.31753158569336
22,2019-01-03,SELL,HPE,6358,11.072686195373535,70412.45636177063
23,2019-01-31,SELL,PFE,18041,30.706886291503906,624395.3919467926
24,2019-01-31,SELL,WMT,15645,28.73524284362793,1073958.2662353516
25,2019-01-31,BUY,GM,17344,36.12733459472656,447365.77502441406
26,2019-01-31,BUY,HPE,35039,12.767321586608887,11.593951225280762
27,2019-02-28,SELL,GM,17343,36.96836853027344,641154.0093717575
28,2019-02-28,BUY,HPE,46670,13.738031387329102,0.08452510833740234
29,2019-03-29,SELL,HPE,68023,12.643345832824707,860038.3981113434
30,2019-03-29,BUY,AAPL,12031,45.25637435913086,315558.95819664
31,2019-03-29,BUY,XOM,5162,61.127716064453125,17.6878719329834
32,2019-04-30,SELL,HPE,13686,13.016181945800781,178157.15398216248
33,2019-04-30,SELL,WMT,1,30.94993019104004,178188.10391235352
34,2019-04-30,SELL,XOM,5161,60.54475021362305,490659.55976486206
35,2019-04-30,BUY,AAPL,9999,49.06691360473633,39.490631103515625
36,2019-01-03,SELL,GM,1,31.09039878845215,70.58102989196777
37,2019-01-03,SELL,AAPL,22030,37.708595275878906,830790.9349575043
38,2019-01-03,SELL,XOM,1,52.18247985839844,830843.1174373627
39,2019-01-31,BUY,GM,13418,36.12733840942383,346086.49065971375
40,2019-01-31,BUY,HPE,27106,12.767319679260254,15.523433685302734
41,2019-02-28,SELL,GM,13418,36.9683723449707,496057.1435585022
42,2019-02-28,BUY,HPE,36108,13.738030433654785,4.340660095214844
43,2019-03-29,SELL,HPE,52627,12.643342971801758,665385.5512371063
44,2019-03-29,BUY,AAPL,9307,45.256378173828125,244184.43957328796
45,2019-03-29,BUY,XOM,3994,61.12770080566406,40.40255546569824
46,2019-04-30,SELL,HPE,10586,13.016182899475098,137829.71472930908
47,2019-04-30,SELL,XOM,3994,60.54475021362305,379645.44708251953
48,2019-04-30,BUY,AAPL,7737,49.0669059753418,14.795551300048828
