,Date,Action,Ticker,Quantity,Price,Cash
0,2019-01-31,BUY,AAPL,3316,39.45888137817383,869154.3493499756
1,2019-01-31,BUY,JPM,2201,87.88227844238281,675725.454498291
2,2019-01-31,BUY,PFE,22005,30.70688819885254,20.379682540893555
3,2019-02-28,SELL,AAPL,3316,41.93504333496094,139076.98338127136
4,2019-02-28,SELL,JPM,813,88.51354217529297,211038.49316978455
5,2019-02-28,BUY,PFE,6598,31.980758666992188,29.447484970092773
6,2019-03-29,SELL,JPM,305,84.76795959472656,25883.675161361694
7,2019-03-29,BUY,PFE,821,31.503990173339844,18.899229049682617
8,2019-04-30,SELL,PFE,881,29.49261474609375,26001.892820358276
9,2019-04-30,BUY,JPM,264,98.48648834228516,1.4598979949951172
10,2019-05-31,SELL,JPM,198,90.80231475830078,17980.31822013855
11,2019-05-31,BUY,PFE,570,31.490297317504883,30.8487491607666
12,2019-06-28,SELL,JPM,190,92.31200408935547,17570.129526138306
13,2019-06-28,BUY,PFE,538,32.64017105102539,9.717500686645508
14,2019-07-31,SELL,PFE,29651,29.152956008911133,864424.0161209106
15,2019-07-31,SELL,JPM,627,98.73104858398438,926328.3835830688
16,2019-07-31,BUY,PFE,31774,29.152956008911133,22.359355926513672
